source,type,target,weight
Aerarius,Undirected,Bassara,1
Aerarius,Undirected,Bassarus,3
Aerarius,Undirected,Corasium,1
Aerarius,Undirected,Creoborus,2
Aerarius,Undirected,Droma,1
Aerarius,Undirected,Dromus,1
Aerarius,Undirected,Euergetes,1
Aerarius,Undirected,Graidium,1
Aerarius,Undirected,Harpax,1
Aerarius,Undirected,Hieronymus,1
Aerarius,Undirected,Merimna,1
Aerarius,Undirected,Phorus,1
Bassara,Undirected,Bassarus,4
Bassara,Undirected,Corasium,1
Bassara,Undirected,Creoborus,1
Bassara,Undirected,Droma,1
Bassara,Undirected,Dromus,1
Bassara,Undirected,Euergetes,1
Bassara,Undirected,Graidium,1
Bassara,Undirected,Harpax,1
Bassara,Undirected,Hieronymus,2
Bassara,Undirected,Merimna,1
Bassara,Undirected,Phorus,1
Bassarus,Undirected,Corasium,2
Bassarus,Undirected,Creoborus,8
Bassarus,Undirected,Droma,3
Bassarus,Undirected,Dromus,4
Bassarus,Undirected,Euergetes,8
Bassarus,Undirected,Graidium,7
Bassarus,Undirected,Harpax,3
Bassarus,Undirected,Hieronymus,10
Bassarus,Undirected,Merimna,3
Bassarus,Undirected,Phorus,4
Corasium,Undirected,Creoborus,1
Corasium,Undirected,Droma,1
Corasium,Undirected,Dromus,1
Corasium,Undirected,Euergetes,1
Corasium,Undirected,Graidium,2
Corasium,Undirected,Harpax,1
Corasium,Undirected,Hieronymus,2
Corasium,Undirected,Merimna,1
Corasium,Undirected,Phorus,1
Creoborus,Undirected,Droma,3
Creoborus,Undirected,Dromus,4
Creoborus,Undirected,Euergetes,6
Creoborus,Undirected,Graidium,1
Creoborus,Undirected,Harpax,2
Creoborus,Undirected,Hieronymus,2
Creoborus,Undirected,Merimna,2
Creoborus,Undirected,Phorus,2
Droma,Undirected,Dromus,4
Droma,Undirected,Euergetes,3
Droma,Undirected,Graidium,1
Droma,Undirected,Harpax,1
Droma,Undirected,Hieronymus,1
Droma,Undirected,Merimna,2
Droma,Undirected,Phorus,1
Dromus,Undirected,Euergetes,4
Dromus,Undirected,Graidium,1
Dromus,Undirected,Harpax,1
Dromus,Undirected,Hieronymus,1
Dromus,Undirected,Merimna,2
Dromus,Undirected,Phorus,1
Euergetes,Undirected,Graidium,1
Euergetes,Undirected,Harpax,2
Euergetes,Undirected,Hieronymus,3
Euergetes,Undirected,Merimna,3
Euergetes,Undirected,Phorus,3
Graidium,Undirected,Harpax,1
Graidium,Undirected,Hieronymus,7
Graidium,Undirected,Merimna,1
Graidium,Undirected,Phorus,1
Harpax,Undirected,Hieronymus,2
Harpax,Undirected,Merimna,1
Harpax,Undirected,Phorus,3
Hieronymus,Undirected,Merimna,1
Hieronymus,Undirected,Phorus,3
Merimna,Undirected,Phorus,1
